# 2D position data
# Points uniformly distributed in [-1,1] x [-1,1]
# x_position y_position
0.392938 -0.574337
-0.427721 -0.215392
-0.546297 0.703096
0.102630 -0.744776
0.438938 0.787731
-0.153787 -0.006984
0.961528 -0.147809
0.369659 -0.388707
-0.038136 0.833698
-0.215765 0.035247
-0.313644 0.608053
0.458099 0.715304
-0.122856 0.844765
-0.880644 -0.393239
-0.203911 -0.320378
0.475991 0.190148
-0.635017 -0.117352
-0.649096 0.865685
0.063103 -0.204872
0.063655 -0.044444
0.268802 0.234372
0.698864 -0.190521
0.448911 0.984957
0.222047 -0.802297
0.444887 -0.558793
-0.354082 -0.354690
-0.276423 -0.704554
-0.543474 -0.431562
-0.412572 0.558491
0.261952 0.045784
-0.815790 -0.932093
-0.132598 0.965245
-0.138274 0.232013
-0.012630 -0.882121
-0.148339 0.322338
-0.375478 -0.243261
-0.147297 -0.728653
0.786778 0.127329
0.888320 0.454160
0.003673 0.342253
0.247906 -0.504974
-0.768763 0.049732
-0.365429 0.075327
-0.170348 0.433607
0.732618 -0.280265
-0.499089 0.595465
-0.033931 0.255844
0.971120 -0.923337
0.038970 0.092958
0.225789 0.723824
-0.758743 0.135148
0.652682 -0.648343
0.206120 0.020753
0.090136 0.513892
-0.314472 -0.779790
-0.391758 0.634198
-0.165956 -0.665037
0.362602 0.068153
0.750914 -0.228513
0.020845 -0.502752
0.338628 0.294865
0.171873 -0.925216
0.249807 0.520092
0.349378 0.053881
0.684685 0.751542
-0.833610 0.041437
0.527366 -0.929934
-0.512667 -0.712798
-0.611554 0.591209
0.144914 -0.016048
-0.808575 -0.116241
0.770654 -0.363130
0.254498 -0.430902
0.446833 0.931773
-0.967742 -0.134061
0.188864 0.768006
0.113570 0.296326
-0.682081 0.716855
-0.693859 0.704899
0.391059 0.912624
-0.362467 0.395884
0.383941 0.610794
0.108766 0.466256
-0.222099 0.210454
0.850265 0.434708
0.683340 0.431501
-0.285205 -0.918184
-0.912817 0.032222
-0.390464 0.585303
-0.203629 -0.514076
0.409918 -0.069704
0.990717 -0.130029
-0.288170 -0.194426
0.525096 -0.756321
0.186354 0.051423
0.383404 -0.107503
-0.697745 0.326786
-0.202247 0.098826
-0.518288 -0.944914
-0.313088 -0.936164
0.026256 0.402720
0.333249 0.415162
-0.788183 0.919878
-0.738210 0.753409
-0.356039 -0.063881
0.323129 0.251813
0.693012 -0.085637
0.106515 -0.554108
0.708905 -0.246646
-0.230324 -0.792232
-0.366424 0.333054
-0.291471 -0.615940
-0.657836 -0.049064
0.658225 0.934873
-0.322658 -0.936662
0.104740 -0.696540
0.157103 -0.402842
0.043066 0.883614
-0.994624 0.817684
0.976691 -0.675998
0.810683 0.962236
-0.584728 0.501495
-0.415021 0.079954
0.040020 0.863406
0.803823 0.761214
0.967262 -0.217367
-0.484916 0.312686
0.128718 0.294770
0.613937 -0.346064
-0.211260 -0.641220
0.462146 -0.066380
-0.677862 -0.473438
0.201397 -0.289870
0.731729 0.908288
0.967043 -0.077724
-0.841268 0.369783
-0.143305 -0.327540
-0.590914 0.991722
-0.098727 0.317535
0.095527 -0.607981
-0.813347 -0.803632
-0.406278 0.886361
0.855168 0.889556
0.138007 0.242657
-0.085176 -0.966017
0.507052 -0.548930
0.483724 0.602554
-0.902842 0.750920
0.417395 -0.092020
0.678487 -0.268959
-0.668124 -0.451550
0.561996 -0.766059
-0.426927 -0.768511
-0.387060 0.905205
0.330523 0.617252
-0.777216 -0.670441
0.329745 -0.585900
0.775714 0.311103
0.392623 0.529328
-0.119344 0.620630
-0.123571 -0.673325
0.530192 0.968257
0.131284 -0.544396
-0.830192 0.178831
0.165342 0.175232
0.629687 0.934724
-0.325867 0.315335
0.855153 0.169809
0.501434 0.037545
0.148128 0.529315
0.503288 -0.787889
-0.841702 -0.995816
0.718778 0.904978
0.643008 -0.002685
0.819743 -0.343329
-0.742738 -0.263893
-0.836440 0.607687
-0.723169 -0.235260
-0.201243 0.540338
-0.151386 -0.119076
0.124437 0.688155
-0.755513 -0.847592
-0.597201 -0.037743
0.623289 -0.066301
-0.064025 -0.471344
0.615876 0.887229
-0.985147 0.810057
0.103185 -0.112807
0.863864 -0.805681
0.164351 -0.586434
-0.587809 -0.457016
0.435515 -0.031560
-0.242028 -0.323246
0.336768 0.548272
-0.941361 -0.047947
0.271801 0.740741
-0.935604 0.991564
0.489561 -0.560328
-0.054174 0.223343
-0.756491 0.695005
0.085272 0.890473
-0.866451 -0.419827
0.306730 0.454085
0.992173 -0.969968
0.538795 0.758285
0.147548 -0.872123
-0.794729 0.466791
0.399668 0.989221
0.322336 0.002380
-0.901806 -0.581332
0.584599 0.189287
0.037433 0.248300
-0.148265 0.336145
0.576374 -0.654777
-0.176862 0.797425
-0.037947 0.241983
-0.636742 -0.912863
-0.357362 0.368082
0.691066 -0.607832
-0.626193 -0.945318
-0.165418 0.101907
0.978069 0.626627
-0.526800 0.719882
0.833665 -0.792958
0.836795 0.326086
-0.817407 0.420150
-0.072695 -0.410966
0.004433 0.942728
-0.372662 -0.442625
-0.905321 -0.860036
-0.516629 0.038561
-0.808941 0.388630
-0.523500 -0.510680
0.615582 -0.322836
0.789957 0.127256
-0.913554 0.773356
-0.396106 0.494652
0.961164 -0.580816
0.079010 -0.496446
0.252619 0.047761
-0.988909 0.537917
-0.030181 0.237524
0.976657 0.002649
-0.249629 0.194251
-0.805924 0.512120
-0.076182 0.074160
0.926009 0.795505
-0.316339 0.894135
0.597845 0.830709
0.597693 0.509037
-0.583503 -0.507358
-0.113265 -0.229457
0.431203 -0.440000
-0.178960 0.315320
-0.617986 -0.351557
0.934989 0.508783
0.301501 -0.772982
0.730920 0.550730
-0.949515 0.171804
-0.466188 0.670777
0.004142 -0.138249
-0.865103 0.249929
0.986067 0.108824
-0.527075 0.951343
-0.251416 0.510949
-0.571976 0.089626
-0.789108 -0.651936
-0.535040 0.808228
-0.398780 -0.588324
0.268885 0.300087
-0.437530 0.872944
-0.275446 -0.552841
-0.988114 -0.548153
-0.268562 0.703638
0.067772 0.655310
-0.675968 -0.296593
0.194866 -0.469807
-0.413695 -0.745223
0.264101 0.975872
-0.947607 0.670686
0.775187 0.798783
-0.967763 0.027359
-0.746084 -0.771230
0.554325 -0.894839
-0.908210 -0.338836
0.421997 0.840661
0.942092 0.895164
0.743366 0.682328
0.420323 -0.682642
0.917019 -0.160154
-0.140373 -0.507514
0.745758 -0.589300
-0.288085 0.369652
0.859527 -0.027777
-0.702445 -0.350181
0.880058 -0.799571
0.665432 0.089527
0.692110 -0.305950
-0.752154 -0.217808
0.192974 -0.378983
-0.967215 -0.225610
0.442369 0.111719
-0.984525 -0.971712
-0.830355 0.695294
-0.549003 0.843840
0.750249 0.101059
-0.272847 -0.463958
0.079920 0.980478
0.136206 -0.233612
-0.549073 0.387311
0.144294 0.379905
0.321904 -0.131382
-0.403509 -0.601684
-0.162746 0.933159
-0.093822 -0.872618
0.864701 -0.029701
0.174987 -0.558539
0.896505 -0.412052
0.112070 0.657055
0.001123 -0.265469
-0.992936 -0.833303
-0.038222 -0.607382
0.854910 0.720747
-0.603269 0.954058
-0.895818 -0.464036
-0.186442 0.350818
-0.255207 -0.837602
0.714306 0.446931
-0.946778 -0.167127
0.840298 0.836320
0.361806 -0.376928
0.808452 0.882934
0.215058 0.006495
0.623907 -0.302214
-0.328912 0.294039
-0.300868 -0.500508
-0.220252 -0.540473
0.509594 -0.607307
-0.261418 0.919799
-0.515560 -0.014173
0.875337 0.503230
0.816022 -0.052016
-0.302405 0.175080
0.269276 0.168278
-0.452316 0.959773
-0.587770 0.336866
-0.327321 -0.520461
-0.345800 -0.969605
0.764552 -0.562636
0.644608 -0.088961
0.419246 -0.213159
0.918690 0.624652
-0.154913 0.571114
-0.509934 -0.821808
-0.765203 0.904021
-0.397893 0.054913
-0.709473 0.192808
-0.815628 -0.189886
0.205864 0.299002
-0.271625 0.742653
0.129141 0.347872
-0.617329 0.940197
0.353812 0.402244
-0.568989 0.643441
-0.443953 -0.909921
0.483521 0.345397
0.119476 0.309505
-0.330327 -0.796508
0.085978 0.684775
0.387969 0.228345
0.824264 -0.803344
0.161426 0.188934
-0.534627 -0.043168
0.493395 -0.533413
0.555538 -0.960488
-0.599197 -0.268865
0.641148 0.239702
-0.070130 -0.341442
0.559533 -0.385491
-0.525044 0.502242
-0.334839 0.517249
0.907394 0.437532
0.315630 -0.797636
0.545756 0.032332
0.376749 0.115597
-0.591392 0.489609
-0.058623 0.806355
0.617928 -0.261922
0.350070 -0.142673
-0.987944 0.465535
-0.825185 0.325273
-0.306411 0.115740
0.888731 -0.299721
-0.017619 -0.609295
-0.459647 -0.632385
-0.279153 -0.836833
-0.578695 -0.837598
-0.157600 0.691596
-0.563929 -0.232655
0.691505 -0.878521
-0.087459 0.792851
-0.440396 -0.553459
0.865783 -0.463751
-0.371297 -0.611004
0.819429 0.935002
-0.913164 -0.774920
0.414230 0.444326
-0.032222 0.864177
-0.111558 0.336003
-0.927353 0.717453
-0.918634 -0.515106
-0.334493 0.347856
0.894239 0.401743
0.235320 -0.083335
-0.262250 0.741091
0.223954 0.388772
-0.587737 0.789756
-0.669867 0.506409
-0.276365 0.040581
0.726707 -0.002624
0.018803 -0.092545
-0.406197 -0.956706
0.900503 0.070283
0.631932 -0.154054
-0.354052 -0.684933
0.944196 -0.761861
0.974702 -0.101296
-0.182680 -0.920174
0.311846 0.973160
-0.188694 -0.243758
-0.485304 -0.235782
-0.834695 -0.897747
-0.472779 -0.146655
-0.457040 -0.968509
-0.202722 -0.939813
-0.630228 -0.321802
0.907637 0.641938
-0.794240 -0.082358
0.250417 -0.970319
-0.116605 -0.673560
-0.152964 0.479845
-0.256016 0.476587
0.736629 0.509046
-0.439046 -0.296661
-0.958848 -0.295446
0.836194 0.604151
0.728961 -0.203724
-0.446196 0.454382
0.046975 0.162246
-0.781824 -0.271317
-0.813146 -0.839987
0.674932 -0.767749
-0.179469 0.779117
0.323433 -0.095319
0.886401 0.988009
-0.509739 -0.272206
-0.973680 -0.500091
-0.951703 -0.298921
0.418771 -0.313828
0.849104 0.274713
-0.065339 -0.974525
-0.249782 0.526537
0.085721 -0.167171
0.717834 -0.135522
0.304308 -0.037770
-0.534040 -0.101575
0.549160 -0.005058
-0.730773 -0.308191
-0.668880 -0.093308
0.225365 -0.190697
-0.522433 0.036485
0.409557 0.246538
-0.300963 -0.517919
-0.445152 0.016874
0.997837 0.189244
-0.918768 -0.966103
0.291645 0.040987
-0.922601 -0.521414
0.520421 -0.190923
-0.539820 0.653060
-0.820336 -0.347529
0.296899 -0.033566
0.465202 -0.950518
0.356191 -0.382498
-0.896198 0.279442
-0.411386 -0.369676
-0.097823 -0.588405
-0.425793 -0.418689
0.621027 0.908757
-0.737770 -0.826396
0.224359 -0.073284
0.976430 -0.883226
0.805113 0.077316
-0.555686 -0.707929
-0.999836 0.268170
0.961195 -0.471205
0.765426 0.381831
0.838945 -0.305708
-0.168993 -0.991663
0.489231 -0.410211
